#,Title,Artist,Album,Source,Duration,Acousticness,Artist Country,Danceability,Energy,Explicit,Liveness,Genres,Popularity,Speechiness
1,Good Time,Earl St. Clair,Good Time,My Saved Tracks,3:57,0.056,,0.524,0.806,No,0.281,—,35,0.360
2,Simmerdown,Nostalgia 77,The Sleepwalking Society,My Saved Tracks,3:27,0.181,GB,0.805,0.288,No,0.115,—,51,0.044
3,Humo,Rupatrupa,Directo en Sdma,My Saved Tracks,4:00,0.587,XE,0.484,0.455,No,0.123,pop,59,0.036
4,La Nostra Pelle,Ex-Otago,Marassi (Deluxe Edition),My Saved Tracks,3:48,0.589,IT,0.721,0.572,No,0.112,indie pop,48,0.047
5,Rock & Roll,Oliver Malcolm,Rock & Roll,My Saved Tracks,2:19,0.329,,0.427,0.824,No,0.222,—,66,0.297
6,Five in the Morning,Ripe,Five in the Morning,My Saved Tracks,3:10,0.181,US,0.754,0.750,No,0.067,"funk, alternative pop",45,0.052
7,Grizzly Bear,Angus & Julia Stone,Angus & Julia Stone (Deluxe),My Saved Tracks,4:08,0.503,AU,0.902,0.438,No,0.101,"folk, indie pop",60,0.049
8,Love Sick Doctor,Thunder Jackson,Thunder Jackson,My Saved Tracks,3:29,0.347,US,0.560,0.570,No,0.342,—,63,0.063
9,Guantanamera,Guitarricadelafuente,Guantanamera,My Saved Tracks,3:10,0.875,ES,0.512,0.263,No,0.110,—,63,0.086
10,Ya no duele,Hoonine,Ya no duele,My Saved Tracks,3:24,0.150,ES,0.553,0.882,No,0.158,—,36,0.105
11,no me queda energía,Carmen Lancho,no me queda energía,My Saved Tracks,1:05,0.916,,0.692,0.391,No,0.109,—,33,0.081
12,Badlands,Kevin Morby,Badlands,My Saved Tracks,3:54,0.758,US,0.712,0.582,No,0.109,"singer-songwriter, indie folk, folk rock",56,0.048
13,Lonely Boy - 2021 Remaster,The Black Keys,El Camino (2021 Remaster),My Saved Tracks,3:13,0.004,US,0.362,0.925,No,0.167,"blues rock, blues, rock, garage rock, alternative rock, garage rock revival, indie rock",72,0.078
14,Are You Gonna Be My Girl,Jet,Get Born (Deluxe Edition),My Saved Tracks,3:33,0.001,AU,0.606,0.957,No,0.140,"garage rock, rock, alternative rock, garage rock revival, hard rock",80,0.081
15,The Way You Look At Me,Kay Young,The Way You Look At Me,My Saved Tracks,3:40,0.054,GB,0.730,0.670,No,0.230,—,39,0.142
16,I Need A Dollar,Aloe Blacc,Good Things,My Saved Tracks,4:03,0.199,US,0.840,0.481,No,0.087,"contemporary r&b, soul, neo soul, r&b, pop soul",71,0.034
17,Eight,Kimberdavisson,Eight,My Saved Tracks,2:04,0.480,,0.805,0.575,No,0.125,—,62,0.148
18,Ask,Kevinlerhen,Ask,My Saved Tracks,2:09,0.272,,0.736,0.508,No,0.309,—,52,0.381
19,URL To Her Body,My Boy Arlo,URL To Her Body,My Saved Tracks,3:36,0.295,,0.867,0.420,No,0.100,—,68,0.052
20,Alabama Rhythm,Slick Krugers,"The Traveling Alchemist, Vol. 1",My Saved Tracks,2:48,0.321,,0.889,0.486,No,0.100,—,64,0.045
21,Camouflage,Milky Chance,Trip Tape III,My Saved Tracks,2:25,0.183,DE,0.739,0.660,No,0.209,"indie folk, folktronica, indie pop",66,0.029
22,Better Days,The Meltdown,The Meltdown,My Saved Tracks,3:57,0.676,AU,0.812,0.398,No,0.077,"blues, r&b, soul",65,0.040
23,High No More,Hajaj,High No More,My Saved Tracks,3:18,0.011,SA,0.882,0.274,No,0.111,—,73,0.063
24,PIMP,Bacao Rhythm & Steel Band,55,My Saved Tracks,3:14,0.456,DE,0.672,0.858,No,0.104,funk,56,0.145
25,I Feel Love,Aurval,I Feel Love,My Saved Tracks,3:23,0.331,,0.628,0.626,No,0.541,—,40,0.359
